Target	Source
HDAC5	CAMTA2
HDAC5	CIITA
HDAC5	GATA1
HDAC5	GATA2
HDAC5	GCM1
HDAC5	GNB1
HDAC5	HDAC4
HDAC6	BCL3
HDAC6	CYLD
HDAC6	DCTN1
HDAC6	EGFR
HDAC7	BCL6
HDAC7	CTNNB1
HDAC7	HDAC2
HDAC7	HDAC4
HDAC7	HDAC5
HGS	BEGAIN
HGS	EGFR
HGS	EHMT2
HIF1A	ARNT
HIF1A	ARNT2
HIF1A	CREBBP
HIF1A	CSNK2A1
HIF1A	CTNNB1
HIF1A	HDAC4
HIPK1	CCNT2
HIPK1	DAXX
HIRA	CABIN1
HIVEP2	FBXW11
HLA-A	ERBB2
HMGB1	AES
HMGB1	CTCF
HMGB1	CUX1
HMGB1	DNMT1
HMGXB4	HABP4
HNF1A	AES
HNF1A	BCR
HNF1A	CREBBP
HNF1A	CTNNB1
HNF1A	FOS
HNF1A	GATA5
HNF1B	CREBBP
HNF1B	HNF1A
HNF4A	CREBBP
HNF4A	CTNNB1
HNF4A	FOXO1
HNF4A	HNF1A
HNRNPC	ARHGAP4
HNRNPC	CSNK2A1
HNRNPC	DHX9
HNRNPC	FXR2
HNRNPH3	CHERP
HNRNPK	CARM1
HNRNPK	CCAR1
HNRNPK	DHX9
HNRNPK	HMGB1
HNRNPU	ELL
HNRNPU	GRIN1
HNRNPU	HNRNPH3
HOMER1	AGAP2
HOMER1	DNM3
HOMER1	GRIA1
HOXB6	CREBBP
HOXD10	CREBBP
HSF1	CAMK2A
HSF1	CREBBP
HSF1	CSNK2A1
HSF1	DAXX
HSF1	HDAC2
HSF2	HSF1
HSPA4	AKT1
HSPA4	EGFR
HSPA4	ERBB2
HSPA4	GATA1
HSPA4	HDAC2
HSPA4	HIF1A
HSPA4	HSF1
HSPD1	DHFR
HSPD1	DNM1L
HTR2A	ANKS1B
HTR6	GNAS
HTT	AKT1
HTT	CHD3
HTT	CREBBP
HTT	CTBP1
HTT	EGFR
HTT	GIT1
IFI16	CSNK2A1
IGF1R	ARHGEF12
IGF1R	CBL
IGF1R	EGFR
IGF1R	ERBB2
IGF1R	GRB10
IKBKB	AKT1
IKBKB	CFLAR
IKBKB	CTNNB1
IKBKB	EIF2AK3
IKBKB	HNRNPU
IKZF4	CHD4
IKZF4	HDAC2
IKZF4	IKZF2
ILF3	DGCR8
ILF3	DHX9
ILF3	FUS
ILF3	HNRNPC
IMPDH2	AKT1
ING1	DMAP1
ING1	HDAC2
INO80	ACTR5
INO80D	INO80
INPP5D	BCR
INPP5D	CSF1R
INPP5D	DOK1
INPP5D	EPOR
INPP5D	FGR
INPP5D	GAB2
INPPL1	ABL1
INPPL1	CBL
INPPL1	CSF1R
INPPL1	EGFR
INPPL1	EPHA2
INPPL1	FLNC
INTS3	CTDP1
INTS6	CTDP1
INTS7	CTDP1
INTS8	CTDP1
IQGAP1	AKT1
IQGAP1	CDC42
IQGAP1	CLIP1
IQGAP1	CTNNB1
IQGAP1	EGFR
IQGAP1	ERBB2
IQGAP1	GRIA4
IQGAP1	GRIN1
IRAK1	AKT1
IRAK1	IKBKB
IRAK1	IL1RAP
IRF5	CREBBP
IRF6	IRF5
ITCH	ATN1
ITCH	CBL
ITCH	CFLAR
ITCH	HGS
ITGA2B	COL1A2
ITGA2B	COL2A1
ITGA4	CD44
ITGA4	EED
ITGA4	FLNA
ITGB4	DST
ITGB4	ERBB2
ITGB4	FLNA
ITGB7	DOK1
ITGB7	EED
ITGB7	FLNA
ITGB7	ITGA4
ITPR1	AKT1
ITPR1	EPB41L1
ITPR1	ERLIN2
ITPR1	HOMER1
ITPR3	ANK1
ITPR3	ITPR1
ITSN1	CBL
ITSN1	CDC42
ITSN1	DNM2
ITSN1	INPPL1
JAG2	ATN1
JAK1	ABL1
JAK1	IGF1R
JAK1	IL9R
JAK1	INPP5D
JAK3	CBLB
JAK3	INPP5D
JAK3	JAK1
JARID2	EED
JARID2	EZH1
JARID2	GATA4
JARID2	HDAC2
JUP	BIRC2
JUP	CTNNA1
JUP	CTNNB1
JUP	EGFR
JUP	ERBB2
KAL1	FGFR1
KAT2B	ACTN1
KAT2B	ACTN2
KAT2B	AKT1
KAT2B	CDC25B
KAT2B	CIITA
KAT2B	CREBBP
KAT2B	CTBP1
KAT2B	CUX1
KAT2B	DNMT1
KAT2B	HNF1A
KAT2B	ING1
KAT5	APBB1
KAT5	ARIH2
KAT5	BCL3
KAT5	BRD8
KAT5	CBX8
KAT5	CCDC106
KAT5	CDC42
KAT5	CREB1
KAT5	CREBBP
KAT5	CSTF2
KAT5	DMAP1
KAT5	DNMT1
KAT5	EP400
KAT5	EPC1
KAT5	EPC2
KAT5	ETV6
KAT5	FAM135B
KAT5	HABP4
KAT5	HDAC7
KAT5	HNRNPH3
KAT5	IL9R
KCND2	FLNC
KCNG2	KCNB1
KCNH1	KCNB1
KCNH2	HSPA4
KCNH5	KCNH1
KCNJ3	GNB1
KCNQ1	HSPA4
KCNQ2	ARIH2
KCNQ2	KCNQ1
KCNQ3	KCNQ2
KCNQ4	KCNQ3
KCNQ5	KCNQ3
KCNV1	KCNB1
KDM5B	HDAC2
KDM5B	HDAC4
KDM5C	CNOT4
KDM5C	HDAC2
KDM6A	ASH2L
KDR	ATR
KDR	CBL
KDR	CTNNB1
KDR	DNM2
KDR	FBXW11
KDR	FLT4
KDR	GRB10
KDR	IQGAP1
KHDRBS3	BAHD1
KHDRBS3	HNRNPK
KIF11	DCTN1
KIF1A	GIT1
KIF1B	DLG2
KIF23	BIRC6
KIF5A	ITSN1
KIF5B	KIF5A
KIF5C	KIF5A
KIF5C	KIF5B
KIR3DL1	HLA-A
KIR3DL2	HLA-A
KLB	FGFR1
KLC1	KIF2A
KLC1	KIF5C
KLF12	CTBP1
KLF12	EHMT2
KLF4	CREBBP
KLF4	ELK1
KLF4	HDAC2
KLF4	HDAC5
KLF4	KAT5
KLF5	CREBBP
KLF5	FBXW7
KLF7	FBXO38
KL	IGF1R
KLRC2	HLA-E
KRAS	HNRNPC
L3MBTL2	E2F6
LAMB2	LAMA3
LAMC1	ATF7IP
LAMC1	LAMA3
LATS1	ITCH
LEF1	CTNNB1
LEO1	CTNNB1
LEO1	CTR9
LHX1	ISL1
LHX3	ISL1
LIMS1	EHMT2
LIN54	E2F4
LIN54	E2F5
LMNA	FLNA
LMNA	FOS
LMNA	KAT5
LMNB2	LMNA
LPHN1	ANKS1A
LRP2	ANKS1B
LRP2	APBB1
LRP2	ATN1
LRP2	DLG2
LRP2	LPA
LRP4	DFNB31
LRP6	ANTXR1
LRP8	GRIN1
LRRC7	ACTN2
LRRC7	ACTN4
LRRC7	CAMK2A
LRRC7	CAMK2G
LRRC7	CTNND2
LTBP1	ATN1
LTBP1	FBN1
LTBP4	ATN1
LTBR	BIRC2
LTBR	LTB
LTF	CEL
LUC7L2	ATF7IP
LUC7L2	ATRX
LUC7L2	CHD3
LUC7L2	FXR1
LYST	ATN1
LYST	DNAJC14
LYST	HGS
LYST	HNRNPM
LZTR1	BMPR1B
MACF1	ATF7IP
MAGED1	IRAK1
MAGI1	ACTN4
MAGI1	ATN1
MAGI1	CTNNB1
MAGI1	LRP2
MAGI2	ATN1
MAGI2	CTNNB1
MAGI2	CTNND2
MAGI2	DLL1
MAGI2	DSCAML1
MAGI3	DSCAML1
MAGI3	GRIN2B
MAML1	CREBBP
MAP1B	ARHGEF11
MAP2	GRIN1
MAP2K1	ARAF
MAP2K1	BIRC6
MAP2K1	CPNE4
MAP2K1	EGFR
MAP2K1	ELK1
MAP2K1	GRB10
